reference_index,reference_id,parent_reference_index,parent_reference_id,source_id,source_archive,source_member,speed,cell_column,cell_row,length,hit_step,inactive_start_step,source_frames,tags
16,A3STRIKE-FULLCOVER-V02-R000016,17,A3STRIKE-FULLCOVER-R000017,A3STRIKE-FULLCOVER-S000017,clips.zip,clips/strike_033_frame_015765.npz,1.0,4,1,203,88,203,173,task=strike|speed=speed_1p0|cell=cell_4_1|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
17,A3STRIKE-FULLCOVER-V02-R000017,18,A3STRIKE-FULLCOVER-R000018,A3STRIKE-FULLCOVER-S000018,clips.zip,clips/strike_034_frame_016174.npz,1.0,4,1,211,85,211,181,task=strike|speed=speed_1p0|cell=cell_4_1|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
18,A3STRIKE-FULLCOVER-V02-R000018,19,A3STRIKE-FULLCOVER-R000019,A3STRIKE-FULLCOVER-S000019,clips.zip,clips/strike_036_frame_017065.npz,1.0,4,2,222,89,222,192,task=strike|speed=speed_1p0|cell=cell_4_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
19,A3STRIKE-FULLCOVER-V02-R000019,20,A3STRIKE-FULLCOVER-R000020,A3STRIKE-FULLCOVER-S000020,clips.zip,clips/strike_040_frame_018947.npz,1.0,4,2,228,94,228,198,task=strike|speed=speed_1p0|cell=cell_4_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
20,A3STRIKE-FULLCOVER-V02-R000020,21,A3STRIKE-FULLCOVER-R000021,A3STRIKE-FULLCOVER-S000021,clips.zip,clips/strike_042_frame_019916.npz,1.0,4,2,228,97,228,198,task=strike|speed=speed_1p0|cell=cell_4_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
21,A3STRIKE-FULLCOVER-V02-R000021,22,A3STRIKE-FULLCOVER-R000022,A3STRIKE-FULLCOVER-S000022,clips.zip,clips/strike_044_frame_020890.npz,1.0,4,3,227,102,227,197,task=strike|speed=speed_1p0|cell=cell_4_3|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
22,A3STRIKE-FULLCOVER-V02-R000022,23,A3STRIKE-FULLCOVER-R000023,A3STRIKE-FULLCOVER-S000023,clips.zip,clips/strike_046_frame_021730.npz,1.0,3,1,196,80,196,166,task=strike|speed=speed_1p0|cell=cell_3_1|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
23,A3STRIKE-FULLCOVER-V02-R000023,24,A3STRIKE-FULLCOVER-R000024,A3STRIKE-FULLCOVER-S000024,clips.zip,clips/strike_048_frame_022508.npz,1.0,3,1,194,75,194,164,task=strike|speed=speed_1p0|cell=cell_3_1|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
24,A3STRIKE-FULLCOVER-V02-R000024,25,A3STRIKE-FULLCOVER-R000025,A3STRIKE-FULLCOVER-S000025,clips.zip,clips/strike_051_frame_023928.npz,1.0,3,2,228,112,228,198,task=strike|speed=speed_1p0|cell=cell_3_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
25,A3STRIKE-FULLCOVER-V02-R000025,26,A3STRIKE-FULLCOVER-R000026,A3STRIKE-FULLCOVER-S000026,clips (1).zip,clips/strike_004_frame_001287.npz,1.0,3,1,178,77,178,148,task=strike|speed=speed_1p0|cell=cell_3_1|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
26,A3STRIKE-FULLCOVER-V02-R000026,27,A3STRIKE-FULLCOVER-R000027,A3STRIKE-FULLCOVER-S000027,clips (1).zip,clips/strike_009_frame_003201.npz,1.0,3,1,193,87,193,163,task=strike|speed=speed_1p0|cell=cell_3_1|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
27,A3STRIKE-FULLCOVER-V02-R000027,28,A3STRIKE-FULLCOVER-R000028,A3STRIKE-FULLCOVER-S000028,clips (1).zip,clips/strike_011_frame_003929.npz,1.0,3,1,186,75,186,156,task=strike|speed=speed_1p0|cell=cell_3_1|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
28,A3STRIKE-FULLCOVER-V02-R000028,29,A3STRIKE-FULLCOVER-R000029,A3STRIKE-FULLCOVER-S000029,clips (1).zip,clips/strike_012_frame_004317.npz,1.0,3,1,186,80,186,156,task=strike|speed=speed_1p0|cell=cell_3_1|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
29,A3STRIKE-FULLCOVER-V02-R000029,30,A3STRIKE-FULLCOVER-R000030,A3STRIKE-FULLCOVER-S000030,clips (1).zip,clips/strike_018_frame_006616.npz,1.0,2,1,197,81,197,167,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
30,A3STRIKE-FULLCOVER-V02-R000030,31,A3STRIKE-FULLCOVER-R000031,A3STRIKE-FULLCOVER-S000031,clips (1).zip,clips/strike_029_frame_010740.npz,1.0,3,2,192,81,192,162,task=strike|speed=speed_1p0|cell=cell_3_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
31,A3STRIKE-FULLCOVER-V02-R000031,32,A3STRIKE-FULLCOVER-R000032,A3STRIKE-FULLCOVER-S000032,clips (1).zip,clips/strike_036_frame_013324.npz,1.0,3,2,173,73,173,143,task=strike|speed=speed_1p0|cell=cell_3_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
32,A3STRIKE-FULLCOVER-V02-R000032,33,A3STRIKE-FULLCOVER-R000033,A3STRIKE-FULLCOVER-S000033,clips (1).zip,clips/strike_039_frame_014416.npz,1.0,2,1,192,85,192,162,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
33,A3STRIKE-FULLCOVER-V02-R000033,34,A3STRIKE-FULLCOVER-R000034,A3STRIKE-FULLCOVER-S000034,clips (1).zip,clips/strike_041_frame_015201.npz,1.0,3,2,193,86,193,163,task=strike|speed=speed_1p0|cell=cell_3_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
34,A3STRIKE-FULLCOVER-V02-R000034,35,A3STRIKE-FULLCOVER-R000035,A3STRIKE-FULLCOVER-S000035,clips (1).zip,clips/strike_043_frame_015963.npz,1.0,2,2,188,81,188,158,task=strike|speed=speed_1p0|cell=cell_2_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
35,A3STRIKE-FULLCOVER-V02-R000035,36,A3STRIKE-FULLCOVER-R000036,A3STRIKE-FULLCOVER-S000036,clips (1).zip,clips/strike_045_frame_016734.npz,1.0,3,2,201,83,201,171,task=strike|speed=speed_1p0|cell=cell_3_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
36,A3STRIKE-FULLCOVER-V02-R000036,37,A3STRIKE-FULLCOVER-R000037,A3STRIKE-FULLCOVER-S000037,clips (2).zip,clips/strike_004_frame_002746.npz,1.0,4,2,211,100,211,181,task=strike|speed=speed_1p0|cell=cell_4_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
37,A3STRIKE-FULLCOVER-V02-R000037,38,A3STRIKE-FULLCOVER-R000038,A3STRIKE-FULLCOVER-S000038,clips (2).zip,clips/strike_006_frame_003558.npz,1.0,2,3,208,87,208,178,task=strike|speed=speed_1p0|cell=cell_2_3|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
38,A3STRIKE-FULLCOVER-V02-R000038,39,A3STRIKE-FULLCOVER-R000039,A3STRIKE-FULLCOVER-S000039,clips (2).zip,clips/strike_008_frame_004445.npz,1.0,3,3,196,94,196,166,task=strike|speed=speed_1p0|cell=cell_3_3|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
39,A3STRIKE-FULLCOVER-V02-R000039,40,A3STRIKE-FULLCOVER-R000040,A3STRIKE-FULLCOVER-S000040,clips (2).zip,clips/strike_016_frame_007475.npz,1.0,3,1,158,67,158,128,task=strike|speed=speed_1p0|cell=cell_3_1|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
40,A3STRIKE-FULLCOVER-V02-R000040,41,A3STRIKE-FULLCOVER-R000041,A3STRIKE-FULLCOVER-S000041,clips (2).zip,clips/strike_026_frame_011095.npz,1.0,3,2,184,78,184,154,task=strike|speed=speed_1p0|cell=cell_3_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
41,A3STRIKE-FULLCOVER-V02-R000041,42,A3STRIKE-FULLCOVER-R000042,A3STRIKE-FULLCOVER-S000042,clips (2).zip,clips/strike_028_frame_011760.npz,1.0,3,1,163,63,163,133,task=strike|speed=speed_1p0|cell=cell_3_1|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
42,A3STRIKE-FULLCOVER-V02-R000042,43,A3STRIKE-FULLCOVER-R000043,A3STRIKE-FULLCOVER-S000043,clips (2).zip,clips/strike_030_frame_012494.npz,1.0,3,1,206,83,206,176,task=strike|speed=speed_1p0|cell=cell_3_1|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
43,A3STRIKE-FULLCOVER-V02-R000043,44,A3STRIKE-FULLCOVER-R000044,A3STRIKE-FULLCOVER-S000044,clips (2).zip,clips/strike_032_frame_013344.npz,1.0,3,3,203,84,203,173,task=strike|speed=speed_1p0|cell=cell_3_3|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
44,A3STRIKE-FULLCOVER-V02-R000044,45,A3STRIKE-FULLCOVER-R000045,A3STRIKE-FULLCOVER-S000045,clips (2).zip,clips/strike_034_frame_014150.npz,1.0,2,1,175,79,175,145,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
45,A3STRIKE-FULLCOVER-V02-R000045,46,A3STRIKE-FULLCOVER-R000046,A3STRIKE-FULLCOVER-S000046,clips (2).zip,clips/strike_038_frame_015528.npz,1.0,3,2,174,70,174,144,task=strike|speed=speed_1p0|cell=cell_3_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
46,A3STRIKE-FULLCOVER-V02-R000046,47,A3STRIKE-FULLCOVER-R000047,A3STRIKE-FULLCOVER-S000047,clips (2).zip,clips/strike_042_frame_017028.npz,1.0,3,3,204,88,204,174,task=strike|speed=speed_1p0|cell=cell_3_3|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
47,A3STRIKE-FULLCOVER-V02-R000047,48,A3STRIKE-FULLCOVER-R000048,A3STRIKE-FULLCOVER-S000048,clips (2).zip,clips/strike_043_frame_017438.npz,1.0,4,2,196,85,196,166,task=strike|speed=speed_1p0|cell=cell_4_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
48,A3STRIKE-FULLCOVER-V02-R000048,49,A3STRIKE-FULLCOVER-R000049,A3STRIKE-FULLCOVER-S000049,clips (2).zip,clips/strike_045_frame_018239.npz,1.0,2,3,193,85,193,163,task=strike|speed=speed_1p0|cell=cell_2_3|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
49,A3STRIKE-FULLCOVER-V02-R000049,50,A3STRIKE-FULLCOVER-R000050,A3STRIKE-FULLCOVER-S000050,clips (2).zip,clips/strike_048_frame_019336.npz,1.0,3,1,168,67,168,138,task=strike|speed=speed_1p0|cell=cell_3_1|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
50,A3STRIKE-FULLCOVER-V02-R000050,51,A3STRIKE-FULLCOVER-R000051,A3STRIKE-FULLCOVER-S000051,clips (2).zip,clips/strike_054_frame_021423.npz,1.0,3,3,198,73,198,168,task=strike|speed=speed_1p0|cell=cell_3_3|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
51,A3STRIKE-FULLCOVER-V02-R000051,52,A3STRIKE-FULLCOVER-R000052,A3STRIKE-FULLCOVER-S000052,clips (2).zip,clips/strike_060_frame_023564.npz,1.0,3,1,165,65,165,135,task=strike|speed=speed_1p0|cell=cell_3_1|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
52,A3STRIKE-FULLCOVER-V02-R000052,53,A3STRIKE-FULLCOVER-R000053,A3STRIKE-FULLCOVER-S000053,clips (2).zip,clips/strike_062_frame_024312.npz,1.0,3,2,199,86,199,169,task=strike|speed=speed_1p0|cell=cell_3_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
53,A3STRIKE-FULLCOVER-V02-R000053,54,A3STRIKE-FULLCOVER-R000054,A3STRIKE-FULLCOVER-S000054,clips (2).zip,clips/strike_063_frame_024710.npz,1.0,3,2,197,82,197,167,task=strike|speed=speed_1p0|cell=cell_3_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
54,A3STRIKE-FULLCOVER-V02-R000054,55,A3STRIKE-FULLCOVER-R000055,A3STRIKE-FULLCOVER-S000055,clips (2).zip,clips/strike_064_frame_025116.npz,1.0,3,3,214,84,214,184,task=strike|speed=speed_1p0|cell=cell_3_3|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
55,A3STRIKE-FULLCOVER-V02-R000055,56,A3STRIKE-FULLCOVER-R000056,A3STRIKE-FULLCOVER-S000056,clips (2).zip,clips/strike_065_frame_025602.npz,1.0,3,3,200,100,200,170,task=strike|speed=speed_1p0|cell=cell_3_3|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
56,A3STRIKE-FULLCOVER-V02-R000056,57,A3STRIKE-FULLCOVER-R000057,A3STRIKE-FULLCOVER-S000057,clips (3).zip,clips/strike_002_frame_001536.npz,1.0,1,2,192,100,192,162,task=strike|speed=speed_1p0|cell=cell_1_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
57,A3STRIKE-FULLCOVER-V02-R000057,58,A3STRIKE-FULLCOVER-R000058,A3STRIKE-FULLCOVER-S000058,clips (3).zip,clips/strike_003_frame_001834.npz,1.0,2,2,165,62,165,135,task=strike|speed=speed_1p0|cell=cell_2_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
58,A3STRIKE-FULLCOVER-V02-R000058,59,A3STRIKE-FULLCOVER-R000059,A3STRIKE-FULLCOVER-S000059,clips (3).zip,clips/strike_004_frame_002186.npz,1.0,2,2,203,73,203,173,task=strike|speed=speed_1p0|cell=cell_2_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
59,A3STRIKE-FULLCOVER-V02-R000059,60,A3STRIKE-FULLCOVER-R000060,A3STRIKE-FULLCOVER-S000060,clips (3).zip,clips/strike_007_frame_003837.npz,1.0,2,1,197,96,197,167,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
60,A3STRIKE-FULLCOVER-V02-R000060,61,A3STRIKE-FULLCOVER-R000061,A3STRIKE-FULLCOVER-S000061,clips (3).zip,clips/strike_009_frame_004541.npz,1.0,2,1,174,76,174,144,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
61,A3STRIKE-FULLCOVER-V02-R000061,62,A3STRIKE-FULLCOVER-R000062,A3STRIKE-FULLCOVER-S000062,clips (3).zip,clips/strike_013_frame_006084.npz,1.0,1,2,191,100,191,161,task=strike|speed=speed_1p0|cell=cell_1_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
62,A3STRIKE-FULLCOVER-V02-R000062,63,A3STRIKE-FULLCOVER-R000063,A3STRIKE-FULLCOVER-S000063,clips (3).zip,clips/strike_015_frame_006665.npz,1.0,2,1,190,60,190,160,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
63,A3STRIKE-FULLCOVER-V02-R000063,64,A3STRIKE-FULLCOVER-R000064,A3STRIKE-FULLCOVER-S000064,clips (3).zip,clips/strike_019_frame_008422.npz,1.0,1,1,155,62,155,125,task=strike|speed=speed_1p0|cell=cell_1_1|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
64,A3STRIKE-FULLCOVER-V02-R000064,65,A3STRIKE-FULLCOVER-R000065,A3STRIKE-FULLCOVER-S000065,clips (3).zip,clips/strike_029_frame_011680.npz,1.0,1,1,182,80,182,152,task=strike|speed=speed_1p0|cell=cell_1_1|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
65,A3STRIKE-FULLCOVER-V02-R000065,66,A3STRIKE-FULLCOVER-R000066,A3STRIKE-FULLCOVER-S000066,clips (3).zip,clips/strike_033_frame_013064.npz,1.0,2,2,181,78,181,151,task=strike|speed=speed_1p0|cell=cell_2_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
66,A3STRIKE-FULLCOVER-V02-R000066,67,A3STRIKE-FULLCOVER-R000067,A3STRIKE-FULLCOVER-S000067,clips (3).zip,clips/strike_040_frame_016097.npz,1.0,2,1,215,91,215,185,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
67,A3STRIKE-FULLCOVER-V02-R000067,68,A3STRIKE-FULLCOVER-R000068,A3STRIKE-FULLCOVER-S000068,clips (3).zip,clips/strike_041_frame_016547.npz,1.0,2,2,211,93,211,181,task=strike|speed=speed_1p0|cell=cell_2_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
68,A3STRIKE-FULLCOVER-V02-R000068,69,A3STRIKE-FULLCOVER-R000069,A3STRIKE-FULLCOVER-S000069,clips (3).zip,clips/strike_044_frame_017897.npz,1.0,1,1,214,92,214,184,task=strike|speed=speed_1p0|cell=cell_1_1|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
69,A3STRIKE-FULLCOVER-V02-R000069,70,A3STRIKE-FULLCOVER-R000070,A3STRIKE-FULLCOVER-S000070,clips (3).zip,clips/strike_046_frame_018814.npz,1.0,1,2,221,98,221,191,task=strike|speed=speed_1p0|cell=cell_1_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
70,A3STRIKE-FULLCOVER-V02-R000070,71,A3STRIKE-FULLCOVER-R000071,A3STRIKE-FULLCOVER-S000071,clips (3).zip,clips/strike_048_frame_019733.npz,1.0,1,2,224,98,224,194,task=strike|speed=speed_1p0|cell=cell_1_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
71,A3STRIKE-FULLCOVER-V02-R000071,72,A3STRIKE-FULLCOVER-R000072,A3STRIKE-FULLCOVER-S000072,clips (3).zip,clips/strike_051_frame_021168.npz,1.0,1,3,228,100,228,198,task=strike|speed=speed_1p0|cell=cell_1_3|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
72,A3STRIKE-FULLCOVER-V02-R000072,73,A3STRIKE-FULLCOVER-R000073,A3STRIKE-FULLCOVER-S000073,clips (3).zip,clips/strike_052_frame_021640.npz,1.0,1,3,226,98,226,196,task=strike|speed=speed_1p0|cell=cell_1_3|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
73,A3STRIKE-FULLCOVER-V02-R000073,74,A3STRIKE-FULLCOVER-R000074,A3STRIKE-FULLCOVER-S000074,clips (3).zip,clips/strike_056_frame_023537.npz,1.0,2,1,220,93,220,190,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
74,A3STRIKE-FULLCOVER-V02-R000074,75,A3STRIKE-FULLCOVER-R000075,A3STRIKE-FULLCOVER-S000075,clips (3).zip,clips/strike_058_frame_024423.npz,1.0,2,1,208,87,208,178,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
75,A3STRIKE-FULLCOVER-V02-R000075,76,A3STRIKE-FULLCOVER-R000076,A3STRIKE-FULLCOVER-S000076,clips (3).zip,clips/strike_060_frame_025448.npz,1.0,2,1,228,100,228,198,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
76,A3STRIKE-FULLCOVER-V02-R000076,77,A3STRIKE-FULLCOVER-R000077,A3STRIKE-FULLCOVER-S000077,clips (3).zip,clips/strike_066_frame_028240.npz,1.0,2,2,195,84,195,165,task=strike|speed=speed_1p0|cell=cell_2_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
77,A3STRIKE-FULLCOVER-V02-R000077,78,A3STRIKE-FULLCOVER-R000078,A3STRIKE-FULLCOVER-S000078,clips (3).zip,clips/strike_068_frame_029088.npz,1.0,2,1,191,96,191,161,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
78,A3STRIKE-FULLCOVER-V02-R000078,79,A3STRIKE-FULLCOVER-R000079,A3STRIKE-FULLCOVER-S000079,npz.zip,npz/za_strike_col31_cand001_top002773_hit002808_return002937_end002967_a3_z15.npz,1.0,2,1,129,62,129,129,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
79,A3STRIKE-FULLCOVER-V02-R000079,80,A3STRIKE-FULLCOVER-R000080,A3STRIKE-FULLCOVER-S000080,npz.zip,npz/za_strike_col31_cand002_top005484_hit005534_return005593_end005623_a3_z15.npz,1.0,2,1,142,105,142,142,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
80,A3STRIKE-FULLCOVER-V02-R000080,81,A3STRIKE-FULLCOVER-R000081,A3STRIKE-FULLCOVER-S000081,npz.zip,npz/za_strike_col31_cand003_top005789_hit005961_return006104_end006134_a3_z15.npz,1.0,3,1,169,97,169,169,task=strike|speed=speed_1p0|cell=cell_3_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
81,A3STRIKE-FULLCOVER-V02-R000081,82,A3STRIKE-FULLCOVER-R000082,A3STRIKE-FULLCOVER-S000082,npz.zip,npz/za_strike_col31_cand004_top006007_hit006056_return006115_end006145_a3_z15.npz,1.0,3,2,151,113,151,151,task=strike|speed=speed_1p0|cell=cell_3_2|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
82,A3STRIKE-FULLCOVER-V02-R000082,83,A3STRIKE-FULLCOVER-R000083,A3STRIKE-FULLCOVER-S000083,npz.zip,npz/za_strike_col31_cand005_top006078_hit006307_return006530_end006560_a3_z15.npz,1.0,2,1,246,140,246,246,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
